"technique","true_positives","false_positives","true_negatives","false_negatives","FDR","n_true_do_called","n_consensus_peaks","n_true_do","it","prop.do","symmetry","constant.background","equal.DNA.bind","equal.lib.size","prop.consensus","more.background.cond","FDR.threshold","condA_rep1","condA_rep2","condA_rep3","condA_rep4","condA_rep5","condA_rep6","condA_rep7","condA_rep8","condA_rep9","condA_rep10","condB_rep1","condB_rep2","condB_rep3","condB_rep4","condB_rep5","condB_rep6","condB_rep7","condB_rep8","condB_rep9","condB_rep10"
"LIB_PEAKS",975,182,8815,25,0.157303370786517,1000,9997,1000,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,"B",0.05,0.813722622934039,0.845544178020845,1.2194479072607,1.09803649178734,0.918399801126705,1.16372499917745,0.888992874925514,1.04495486965391,1.10621259701471,0.965674249929627,0.950976270467681,1.2007925685729,0.950756924921675,1.04173231800717,0.779766104532776,0.760891420298968,1.04395684741958,1.33931293663473,1.07952189982489,0.787582117488786
"TMM_PEAKS",956,67,8930,44,0.0654936461388074,1000,9997,1000,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,"B",0.05,0.791521944206806,0.810426068700385,1.17082694475925,1.05514851245449,0.891466346066693,1.11002905426362,0.857705579457455,1.00673856994457,1.055453038102,0.926724169108816,0.984265787765667,1.24861985680555,0.988597439961184,1.08048962762292,0.813267850204225,0.794220875930486,1.07955556200954,1.39437482152518,1.12450467655734,0.819921876521236
"RLE_PEAKS",958,71,8926,42,0.0689990281827016,1000,9997,1000,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,"B",0.05,0.818844872153792,0.836952197609552,1.2086302589922,1.08767829427997,0.922040743649407,1.1501229566999,0.889879554447399,1.03738972810503,1.08843657047428,0.96262381390608,1.01550382494624,1.28301032900963,1.01494064296913,1.11264758492758,0.834866858426265,0.816446326229085,1.11044053489188,1.43307166310182,1.15653650702022,0.842324433093933
"LIB_BINS",854,113,8884,146,0.116856256463289,1000,9997,1000,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,"B",0.05,0.898975358917925,0.90187544739557,0.945527720673057,0.930843131284221,0.910386304485016,0.936036620978375,0.90743178832246,0.923728888589577,0.932991392007636,0.914132017760552,1.0738008927882,1.10291861566159,1.0757860518825,1.08457031737581,1.05730168438445,1.05230576718652,1.08532287083251,1.11943669232944,1.08853065715551,1.05809777998907
"TMM_BINS",848,126,8871,152,0.129363449691992,1000,9997,1000,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,"B",0.05,0.897816074094454,0.899167043148847,0.941957828129155,0.929398922490629,0.908859338078215,0.93160332071972,0.905817699305228,0.920963429442669,0.928780653350098,0.911895229417179,1.07627099251062,1.10568894707906,1.07787119549186,1.08761402039498,1.06108742425791,1.05606333258976,1.08907604552514,1.1216740721376,1.09097742891644,1.06173713047378
"RLE_BINS",847,126,8871,153,0.129496402877698,1000,9997,1000,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,"B",0.05,0.903088026428848,0.904144632537964,0.94640992628949,0.932797919734068,0.913288301242264,0.935679763620307,0.911499057437416,0.927404473935417,0.935413923298965,0.916679855052558,1.08230579627618,1.111060613741,1.0858417923795,1.09323344704983,1.06774426538996,1.05992206067651,1.09387087242355,1.12880084465775,1.09911175197178,1.06719760370859
"DBA_NORM_OFFSETS_ADJUST",969,168,8829,31,0.147757255936675,1000,9997,1000,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,"B",0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAnorm2",945,69,8495,55,0.0680473372781065,969,9533,1000,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,"B",0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oracle",1436,114,8383,64,0.0735483870967742,1500,9997,1500,1,0.15,TRUE,FALSE,FALSE,TRUE,0.75,"B",0.05,1.0093201117671,1.03648369012685,1.29316217287646,0.843299294385481,0.967029778632328,1.03610599044176,0.798398484062925,1.01075762603914,0.794559497994895,0.785532789419682,1.04445974653324,0.959167482342389,1.31398897064514,1.20017736649005,1.04610879691882,1.2731123178375,1.19338459851759,0.97581409222853,1.01512818140963,0.698292033580563
"LIB_PEAKS",1473,419,8078,27,0.221458773784355,1500,9997,1500,1,0.15,TRUE,FALSE,FALSE,TRUE,0.75,"B",0.05,1.04791472918932,1.08455484695298,1.32322169139139,0.885457857469574,1.01245423550836,1.08133434438711,0.850496081614528,1.04384217365888,0.84091186597851,0.836327710611896,0.974106331241203,0.90224311684287,1.20552612476282,1.11029310345938,0.975683457354887,1.17000858217927,1.09846741803752,0.916880761076528,0.954194423948246,0.686081144334736
