technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_consensus_peaks,n_true_do,peak_call_tpr_do,peak_call_tpr,peak_call_fdp,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condB_rep1,condB_rep2
LIB_PEAKS,353,64,6316,3147,0.15347721822541965,9873,3500,0.998,0.9864,9.115770282588879e-4,1,0.35000000000000003,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8655146082462205,1.014288508631034,1.2638004386047403,0.856396444518005
TMM_PEAKS,426,39,6341,3074,0.08387096774193549,9873,3500,0.998,0.9864,9.115770282588879e-4,1,0.35000000000000003,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8841376708367851,1.0385013300493897,1.2312425911475608,0.8404631612523199
RLE_PEAKS,417,39,6341,3083,0.08552631578947369,9873,3500,0.998,0.9864,9.115770282588879e-4,1,0.35000000000000003,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9025125585738117,1.0625077991339285,1.2619136214048554,0.8602554608386556
LIB_BINS,256,9,6371,3244,0.033962264150943396,9873,3500,0.998,0.9864,9.115770282588879e-4,1,0.35000000000000003,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9828256217356156,1.0039680763382117,1.0317387806759613,0.9814675212502113
TMM_BINS,225,9,6371,3275,0.038461538461538464,9873,3500,0.998,0.9864,9.115770282588879e-4,1,0.35000000000000003,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9830720438471369,1.0047897889531932,1.0301322263626527,0.9819480863518366
RLE_BINS,248,9,6371,3252,0.03501945525291829,9873,3500,0.998,0.9864,9.115770282588879e-4,1,0.35000000000000003,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9851585351532897,1.0053126546649782,1.0304856049706599,0.984008494537982
DBA_NORM_OFFSETS_ADJUST,355,51,6329,3145,0.12561576354679804,9873,3500,0.998,0.9864,9.115770282588879e-4,1,0.35000000000000003,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
MAnorm2,114,9,6371,3386,0.07317073170731707,9873,3500,0.998,0.9864,9.115770282588879e-4,1,0.35000000000000003,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
Oracle,1284,36,5894,2716,0.02727272727272727,9921,4000,0.99775,0.9909,0.0012095554883580285,1,0.4,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.624924318220124,1.229965251530005,0.6437995204776522,0.7771831403343173
LIB_PEAKS,478,45,5885,3522,0.08604206500956023,9921,4000,0.99775,0.9909,0.0012095554883580285,1,0.4,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.3590274686649808,1.0442007511558598,0.7296281204446707,0.8671436597344887
TMM_PEAKS,522,35,5895,3478,0.06283662477558348,9921,4000,0.99775,0.9909,0.0012095554883580285,1,0.4,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.3766056803472144,1.0716322347826601,0.7168415494531183,0.8490364921083696
RLE_PEAKS,512,35,5895,3488,0.06398537477148081,9921,4000,0.99775,0.9909,0.0012095554883580285,1,0.4,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.4220352312909172,1.1028753701119645,0.7455280245113177,0.8833797924843309
LIB_BINS,422,609,5321,3578,0.5906886517943744,9921,4000,0.99775,0.9909,0.0012095554883580285,1,0.4,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.046370625587554,1.004436975023828,0.966358742556995,0.9828336568316228
TMM_BINS,422,608,5322,3578,0.5902912621359223,9921,4000,0.99775,0.9909,0.0012095554883580285,1,0.4,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.04510550352437,1.005710146332048,0.9667667394607958,0.9823629265188648
RLE_BINS,422,611,5319,3578,0.5914811229428848,9921,4000,0.99775,0.9909,0.0012095554883580285,1,0.4,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0456542756534242,1.0069883070037027,0.968211228970359,0.9843387925437256
DBA_NORM_OFFSETS_ADJUST,505,39,5891,3495,0.07169117647058823,9921,4000,0.99775,0.9909,0.0012095554883580285,1,0.4,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
MAnorm2,368,62,5868,3632,0.14418604651162792,9921,4000,0.99775,0.9909,0.0012095554883580285,1,0.4,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
Oracle,1247,19,5379,3253,0.015007898894154818,9883,4500,0.9966666666666667,0.9875,8.0947080845897e-4,1,0.45,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9842725773809567,1.332400827453153,0.7296683888110197,1.0450190055131128
LIB_PEAKS,432,43,5355,4068,0.09052631578947369,9883,4500,0.9966666666666667,0.9875,8.0947080845897e-4,1,0.45,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8589393476032954,1.1236332141965033,0.8449921677844985,1.1724352704157026
TMM_PEAKS,474,32,5366,4026,0.06324110671936758,9883,4500,0.9966666666666667,0.9875,8.0947080845897e-4,1,0.45,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8768958457478269,1.142119720265932,0.8309439954124878,1.1489396782288719
RLE_PEAKS,468,34,5364,4032,0.06772908366533864,9883,4500,0.9966666666666667,0.9875,8.0947080845897e-4,1,0.45,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8949667357204975,1.1628330854964062,0.8495588958852159,1.1679275486317144
