technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_true_do_called,n_consensus_peaks,n_true_do,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condA_rep3,condA_rep4,condA_rep5,condA_rep6,condA_rep7,condA_rep8,condA_rep9,condA_rep10,condB_rep1,condB_rep2,condB_rep3,condB_rep4,condB_rep5,condB_rep6,condB_rep7,condB_rep8,condB_rep9,condB_rep10
LIB_PEAKS,1979,669,7327,21,0.2526435045317221,2000,9996,2000,1,0.2,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.7768924387895767,1.1389482439415906,1.0147641913736969,0.8328758339768231,1.0149111608167845,1.0114317446990386,0.8434080744157558,0.9431764010139866,1.2964738527261934,1.1150930525920753,1.0072909660873992,0.8567241895382878,0.8637547975483104,1.2158081358353114,1.0897186073483183,0.9452869505746034,1.1578611605305358,0.7085089240785764,0.8462500532977849,1.3208212208153505
TMM_PEAKS,1938,110,7886,62,0.0537109375,2000,9996,2000,1,0.2,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.7284987524480205,1.057630734823695,0.9500955467548429,0.7779836138867386,0.9523946304522001,0.9505501984279976,0.7841645016021453,0.8832550392362353,1.2060843015263694,1.0364590979837645,1.080731754668746,0.9174473892190773,0.930079277617398,1.2997073315029977,1.1703875415460891,1.0110706854586353,1.232071234314477,0.7604613359191232,0.9041983070080472,1.4089198968837895
RLE_PEAKS,1942,108,7888,58,0.05268292682926829,2000,9996,2000,1,0.2,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.7556534649326122,1.0995927077196508,0.9884375176327751,0.8093029945017468,0.9831929313535371,0.9892652597798752,0.8137144579998398,0.9170206655712997,1.2443583725886171,1.0727968148352138,1.111337368494369,0.9446501722402788,0.9536354312228746,1.3315365973125823,1.2083271656829417,1.036730392438507,1.2647916343300338,0.7815995148888549,0.9315904263356544,1.4542473829772018
LIB_BINS,1976,415,7581,24,0.17356754496026766,2000,9996,2000,1,0.2,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9702312980161559,1.0185105275267639,1.0039303493193459,0.9780620387248022,1.0012652480311637,1.0014440955038069,0.9796376184290931,0.99315840909068,1.037709627606982,1.0153120146298016,1.0010830740737997,0.9824510418007146,0.9826719595212988,1.0262710207051269,1.0122988064993523,0.9935785245433766,1.0193836319282226,0.9616640344551808,0.9801739651714506,1.0411627144228814
TMM_BINS,1973,358,7638,27,0.15358215358215357,2000,9996,2000,1,0.2,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9705388205310652,1.01181409884698,1.0000335485954608,0.9771075774795069,0.9958587441180858,0.9971332157232279,0.9782544295678863,0.9894738336353596,1.024596952342105,1.00698325133701,1.0047880686894464,0.9874699897383166,0.9887378879244206,1.0304284062019453,1.017119897165843,0.9985915363197817,1.022573443311975,0.967076479379542,0.9856986110908685,1.0451570150029872
RLE_BINS,1973,368,7628,27,0.15719777872703972,2000,9996,2000,1,0.2,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9733135126976553,1.01319698593189,1.0008566486925952,0.979661989547904,0.9999760430409425,0.9992525208447374,0.9807861561136239,0.9924701840005087,1.0288453562317712,1.0110471205802984,1.0054559447295133,0.9881534910025649,0.9896753411780539,1.0300181563660402,1.019698669241144,0.9990776219305451,1.0243425980590615,0.9693708845484521,0.9871080289563087,1.0450986825708484
DBA_NORM_OFFSETS_ADJUST,1975,555,7441,25,0.21936758893280633,2000,9996,2000,1,0.2,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,1905,98,7552,95,0.04892661008487269,1943,9593,2000,1,0.2,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,2405,148,7349,95,0.057971014492753624,2499,9996,2500,1,0.25,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8971373220004956,0.8909279354002044,1.111315986548023,1.1064467079802396,0.9194732971745646,1.1574862147677922,0.7824539761277999,1.0376457054172603,1.0108655278120704,0.8007067178554319,0.949784005130338,1.0666038959609505,1.4190098552895016,1.0946572183760916,1.0363813232611814,1.081285944223916,0.6974005653089067,0.9402379096223864,0.9116430806106044,1.3800795853917742
LIB_PEAKS,2482,1072,6425,18,0.3016319639842431,2499,9996,2500,1,0.25,TRUE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9807528507570105,0.9718804541843016,1.1952028488862185,1.1888659258329977,0.998950155495837,1.241966488611278,0.8622916542864248,1.1217850437875396,1.0899208324804723,0.8817690210034929,0.8570287859879873,0.9546022585962897,1.2418590831357996,0.9784533171344747,0.9322619196967996,0.9642493831888421,0.6498805994458053,0.845568093530801,0.8304908298173447,1.212220454140283
