"technique","true_positives","false_positives","true_negatives","false_negatives","FDR","n_true_do_called","n_consensus_peaks","n_true_do","it","prop.do","symmetry","constant.background","equal.DNA.bind","equal.lib.size","prop.consensus","more.background.cond","FDR.threshold","condA_rep1","condA_rep2","condA_rep3","condA_rep4","condA_rep5","condA_rep6","condA_rep7","condA_rep8","condA_rep9","condA_rep10","condB_rep1","condB_rep2","condB_rep3","condB_rep4","condB_rep5","condB_rep6","condB_rep7","condB_rep8","condB_rep9","condB_rep10"
"LIB_PEAKS",1273,278,8220,227,0.179239200515796,1500,9998,1500,1,0.15,FALSE,FALSE,FALSE,TRUE,0.75,"A",0.05,1.27637856662402,0.907119480561025,1.07620578949568,1.13186389647682,0.940957724639075,1.06319504914242,0.900215962811125,0.812984667276758,1.0703083898035,1.17842394444027,0.727125819964719,0.705760000082553,0.764118287150221,0.813701848866621,1.05254911618978,1.25592083278369,0.892433596638155,1.1577151110505,1.2288657162606,1.04415619974247
"TMM_PEAKS",1323,174,8324,177,0.11623246492986,1500,9998,1500,1,0.15,FALSE,FALSE,FALSE,TRUE,0.75,"A",0.05,1.29665475607794,0.920534915631801,1.09593626715484,1.15788235870437,0.96120323298976,1.08113012798474,0.914439111974316,0.829547890836117,1.08927585361432,1.20552201465515,0.71645500853436,0.691968864669891,0.752927737977946,0.799449545141769,1.0334314959643,1.23377423255872,0.877123695227741,1.13485025228129,1.19993442068128,1.02209160752538
"RLE_PEAKS",1318,183,8315,182,0.121918720852765,1500,9998,1500,1,0.15,FALSE,FALSE,FALSE,TRUE,0.75,"A",0.05,1.33756628781238,0.953368463771527,1.13160037620187,1.19057420894847,0.989292061667906,1.11679047561413,0.942851508854791,0.851134551393634,1.12721575809607,1.23731235674755,0.743001042532644,0.716606026550798,0.780535916107832,0.826492973182282,1.07319341454981,1.27556727814832,0.908770167992152,1.1767217480444,1.2484180567663,1.06683682534921
"LIB_BINS",1322,56,8442,178,0.0406386066763425,1500,9998,1500,1,0.15,FALSE,FALSE,FALSE,TRUE,0.75,"A",0.05,1.11157588579286,1.06743456468842,1.08944448866572,1.09792053490061,1.07411089505857,1.09050796533557,1.06717826175713,1.05772916685844,1.08873424075401,1.09978595095337,0.888004282785883,0.884712053583918,0.891822293987043,0.897092387640495,0.925252859988748,0.952151130647892,0.906170204278851,0.938103022587688,0.948012921277638,0.924256888457145
"TMM_BINS",1327,56,8442,173,0.0404916847433116,1500,9998,1500,1,0.15,FALSE,FALSE,FALSE,TRUE,0.75,"A",0.05,1.11233581823449,1.06724635808079,1.09103921035774,1.09903770754069,1.07629789399524,1.09061547645015,1.06731294055527,1.0595561088389,1.08837291212193,1.10093929998136,0.887563505724559,0.88517472412712,0.8915353074012,0.897851802501857,0.926107868704382,0.949477473219006,0.905357804869388,0.93587633258147,0.945886273108491,0.923489338955371
"RLE_BINS",1327,56,8442,173,0.0404916847433116,1500,9998,1500,1,0.15,FALSE,FALSE,FALSE,TRUE,0.75,"A",0.05,1.11943589305466,1.07653986861294,1.09689879372072,1.10519254674319,1.08129724517022,1.09790349165842,1.07451444909632,1.0659243447493,1.09589638272044,1.10692065812386,0.893921686299368,0.89123766593556,0.897109870721928,0.90283431410295,0.929560209713587,0.9546473128982,0.91220293113695,0.942007191964548,0.950842201907458,0.928860803860299
"DBA_NORM_OFFSETS_ADJUST",1220,219,8279,280,0.152189020152884,1500,9998,1500,1,0.15,FALSE,FALSE,FALSE,TRUE,0.75,"A",0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAnorm2",750,69,8056,750,0.0842490842490843,1449,9574,1500,1,0.15,FALSE,FALSE,FALSE,TRUE,0.75,"A",0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oracle",1830,138,7861,170,0.0701219512195122,2000,9999,2000,1,0.2,FALSE,FALSE,FALSE,TRUE,0.75,"A",0.05,1.15533352005321,0.687695398840396,1.08698327585359,1.07667528827666,1.15233381091408,1.40777836750779,0.895908956508908,0.816318607537037,1.11368787190539,0.964458293017794,1.16827294571127,1.19300753463268,1.03772219867446,0.738491862213314,0.967468230957493,1.31017516143346,0.99831913963883,0.821872215930068,0.902779558300725,0.841530723718694
"LIB_PEAKS",1630,409,7590,370,0.20058852378617,2000,9999,2000,1,0.2,FALSE,FALSE,FALSE,TRUE,0.75,"A",0.05,1.06403360212947,0.668628077670716,0.996749236288466,1.00414372013039,1.06718169488275,1.27304195019362,0.84941958285868,0.780536703598912,1.02385871896186,0.907179926006227,1.19776320488529,1.23219286408748,1.0723777696805,0.786446853551976,1.00903712855519,1.33277234332552,1.04171422259191,0.862039139474192,0.946841907475977,0.884041353650886
