technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_true_do_called,n_consensus_peaks,n_true_do,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condA_rep3,condA_rep4,condB_rep1,condB_rep2,condB_rep3,condB_rep4
TMM_PEAKS,872,84,8424,628,0.08786610878661087,1500,10008,1500,1,0.15000000000000002,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.7073639840928473,1.0070727477099006,1.1203808082880535,0.7582669312117825,1.0378740428538997,1.0097789874438532,1.1589880524606055,1.2165529645776458
RLE_PEAKS,872,89,8419,628,0.09261186264308012,1500,10008,1500,1,0.15000000000000002,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.7304310640753937,1.0388029980596425,1.149383316952326,0.7772722771655487,1.070993888462775,1.040338673884057,1.1968990377222721,1.2580605715166702
LIB_BINS,1055,162,8346,445,0.13311421528348397,1500,10008,1500,1,0.15000000000000002,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9644931734988138,1.0054815262403056,1.0190342808096555,0.971559560390734,1.0008744602079245,0.9964682836827695,1.015714680177996,1.026374034991801
TMM_BINS,1065,134,8374,435,0.11175979983319433,1500,10008,1500,1,0.15000000000000002,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9636748219507945,1.0019085123553113,1.0141256037883577,0.9702231431956744,1.003139330652332,0.9995525599173226,1.018165998070738,1.0293060170233932
RLE_BINS,1061,128,8380,439,0.10765349032800672,1500,10008,1500,1,0.15000000000000002,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9655322772520201,1.0013180860391955,1.013857764035802,0.9733961461913229,1.005048406415203,1.0016623581950546,1.0213147628977817,1.0297478093663703
DBA_NORM_OFFSETS_ADJUST,876,65,8443,624,0.06907545164718384,1500,10008,1500,1,0.15000000000000002,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,558,19,8324,942,0.03292894280762565,1474,9817,1500,1,0.15000000000000002,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,1231,137,7869,769,0.10014619883040936,2000,10006,2000,1,0.2,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.057127299763944,1.10803178842171,0.7131785533449032,0.8902573692456728,1.3175391547639483,1.236928720650288,0.8507205932917176,0.9698654523981244
LIB_PEAKS,1243,146,7860,757,0.10511159107271419,2000,10006,2000,1,0.2,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0327340965124407,1.078664752816451,0.7228460112793575,0.8886094578187091,1.2755546441983099,1.2039907537075019,0.8455924242311625,0.9520078594360671
TMM_PEAKS,1104,116,7890,896,0.09508196721311475,2000,10006,2000,1,0.2,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9857790208136912,1.0369571487001288,0.6980968668543482,0.8544988674640683,1.324276384341317,1.2555772376788457,0.8814761026383465,0.9898180935841117
