technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_true_do_called,n_consensus_peaks,n_true_do,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condA_rep3,condA_rep4,condB_rep1,condB_rep2,condB_rep3,condB_rep4
LIB_PEAKS,823,155,8849,177,0.15848670756646216,1000,10004,1000,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,1.0169447876721147,1.1616427515858825,0.8988215992107043,0.832637071487715,0.9860841432227245,1.1388933657715459,1.0255216421035038,0.9394546389458093
TMM_PEAKS,772,115,8889,228,0.12965050732807215,1000,10004,1000,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,0.9844475214663366,1.1166275538572317,0.8686618251084895,0.8044248501835651,1.020197656486981,1.178651269437487,1.0611371131728533,0.9759748124385321
RLE_PEAKS,772,114,8890,228,0.12866817155756208,1000,10004,1000,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,1.0037838644449002,1.141711255091736,0.8916090778178307,0.8214314338605153,1.0364468724815858,1.2026523562223537,1.0859302022112158,0.9999770386937489
LIB_BINS,916,759,8245,84,0.45313432835820894,1000,10004,1000,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,1.0810206785059633,1.1006401280485083,1.0681069923787674,1.0576584438764864,0.9187260459341112,0.9370075036869419,0.9252554458679165,0.9115847617013051
TMM_BINS,916,743,8261,84,0.4478601567209162,1000,10004,1000,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,1.0798764203850566,1.0964735374459755,1.0687856501850521,1.0576772077909518,0.9202909879580418,0.93683583491147715,0.9265874159060868,0.9127173648227186
RLE_BINS,915,742,8262,85,0.44779722389861193,1000,10004,1000,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,1.0838120258643924,1.100355195990438,1.0739043432584454,1.0621458781601256,0.9232947167045037,0.9415947485025165,0.9310188999758776,0.9169099711580831
DBA_NORM_OFFSETS_ADJUST,814,137,8867,186,0.1440588853838065,1000,10004,1000,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,NA,NA,NA,NA,NA,NA,NA,NA
MAnorm2,756,31,8801,244,0.03939008894536213,992,9824,1000,1,0.1,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,NA,NA,NA,NA,NA,NA,NA,NA
Oracle,1094,119,8390,406,0.09810387469084914,1500,10009,1500,1,0.15000000000000002,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,1.0381962278572805,1.134104877592031,0.8040733783098463,1.0894407431332962,0.9796460873846384,0.9126775916600542,0.979184490720676,1.107431612069384
LIB_PEAKS,1277,226,8283,223,0.15036593479707253,1500,10009,1500,1,0.15000000000000002,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,1.104732948955589,1.185274453827316,0.8762672192016205,1.1472747901417353,0.9090269496088895,0.8566450123991781,0.9070863767533288,1.0136922491123426
TMM_PEAKS,1134,124,8385,366,0.0985691573926868,1500,10009,1500,1,0.15000000000000002,TRUE,FALSE,FALSE,TRUE,0.75,A,0.05,1.0444337324483093,1.126220828541406,0.8314171567541392,1.0890949759208168,0.9589507566693034,0.9037191743721091,0.9586844399839846,1.0651677369285595
